ZONA,NOTA,ESTADO,ESTUDIANTE_ID_ESTUDIANTE,SECCION_ID_SECCION,SECCION_CURSO_ID_CURSO,SECCION_ANIO,SECCION_CICLO,PENSUM_PLAN_ID_PLAN,PENSUM_PLAN_CARRERA_ID_CARRERA,PENSUM_CURSO_ID_CURSO
18,72,CURSANDO,200011036,802781,769,2027,2,2,13,769
18,72,CURSANDO,200011036,800040,147,2027,5,2,13,147
18,72,CURSANDO,200011036,800378,19,2028,1,2,13,19
18,72,CURSANDO,200011036,801866,103,2029,1,2,13,103
18,72,CURSANDO,201513731,800378,19,2028,1,1,35,19
18,72,CURSANDO,201602929,800040,147,2027,5,3,9,147
18,72,CURSANDO,201602929,800378,19,2028,1,3,9,19
18,72,CURSANDO,201602929,801866,103,2029,1,3,9,103
18,72,CURSANDO,201700568,801752,960,2027,1,12,9,960
18,72,CURSANDO,201700568,800040,147,2027,5,12,9,147
18,72,CURSANDO,201700568,800378,19,2028,1,12,9,19
18,72,CURSANDO,201700568,801866,103,2029,1,12,9,103
18,72,CURSANDO,201710130,801752,960,2027,1,12,9,960
18,72,CURSANDO,201710130,800040,147,2027,5,12,9,147
18,72,CURSANDO,201710130,800378,19,2028,1,12,9,19
18,72,CURSANDO,201710130,801866,103,2029,1,12,9,103
18,72,CURSANDO,201804123,802781,769,2027,2,11,13,769
18,72,CURSANDO,201804123,800040,147,2027,5,11,13,147
18,72,CURSANDO,201804123,800378,19,2028,1,11,13,19
18,72,CURSANDO,201804123,801866,103,2029,1,11,13,103
18,72,CURSANDO,201805987,801752,960,2027,1,12,9,960
18,72,CURSANDO,201805987,800040,147,2027,5,12,9,147
18,72,CURSANDO,201805987,800378,19,2028,1,12,9,19
18,72,CURSANDO,201805987,801866,103,2029,1,12,9,103
18,72,CURSANDO,201901234,800378,19,2028,1,1,35,19
18,72,CURSANDO,201904321,801752,960,2027,1,12,9,960
18,72,CURSANDO,201904321,800040,147,2027,5,12,9,147
18,72,CURSANDO,201904321,800378,19,2028,1,12,9,19
18,72,CURSANDO,201904321,801866,103,2029,1,12,9,103
18,72,CURSANDO,202001111,800040,147,2027,5,21,35,147
18,72,CURSANDO,202001111,800378,19,2028,1,21,35,19
18,72,CURSANDO,202001111,802036,74,2028,3,21,35,74
18,72,CURSANDO,202001111,801866,103,2029,1,21,35,103
18,72,CURSANDO,202102222,802781,769,2027,2,11,13,769
18,72,CURSANDO,202102222,800040,147,2027,5,11,13,147
18,72,CURSANDO,202102222,800378,19,2028,1,11,13,19
18,72,CURSANDO,202102222,801866,103,2029,1,11,13,103
18,72,CURSANDO,202104444,802781,769,2027,2,2,13,769
18,72,CURSANDO,202104444,800040,147,2027,5,2,13,147
18,72,CURSANDO,202104444,800378,19,2028,1,2,13,19
18,72,CURSANDO,202104444,801866,103,2029,1,2,13,103
18,72,CURSANDO,202201111,800040,147,2027,5,20,9,147
18,72,CURSANDO,202201111,802778,768,2027,5,20,9,768
18,72,CURSANDO,202201111,800378,19,2028,1,20,9,19
18,72,CURSANDO,202201111,801866,103,2029,1,20,9,103
