CODIGO,NOMBRE,CREDITOS,SEMESTRE,CODIGO_PRERREQUISITO,TIPO
0017,Área Social Humanística 1,4,1,,OBLIGATORIO
0069,Área Técnica Complementaria 1,3,1,,OBLIGATORIO
0101,Área Matemática Básica 1,7,1,,OBLIGATORIO
0348,Química General 1,3,1,,OBLIGATORIO
0006,Idioma Técnico 1,2,1,,OPCIONAL
0039,Deportes 1,1,1,,OPCIONAL
0005,Técnicas de Estudio e Investigación,3,1,,OBLIGATORIO
0019,Área Social Humanística 2,4,1,0017,OBLIGATORIO
0103,Área Matemática Básica 2,7,1,0101,OBLIGATORIO
0147,Física Básica,5,1,0101,OBLIGATORIO
0040,Deportes 2,1,1,(0039,OPCIONAL
0040,Deportes 2,1,1,|0031),OPCIONAL
0107,Área Matemática Intermedia 1,10,1,0103,OBLIGATORIO
0150,Física 1,6,1,0103,OBLIGATORIO
0150,Física 1,6,1,0147,OBLIGATORIO
0770,Introducción a la Programación y Computación 1,4,1,0103,OBLIGATORIO
0770,Introducción a la Programación y Computación 1,4,1,033CR,OBLIGATORIO
0795,Lógica de Sistemas,2,1,0103,OBLIGATORIO
0795,Lógica de Sistemas,2,1,033CR,OBLIGATORIO
0960,Matemática para Computación 1,5,1,0103,OBLIGATORIO
0960,Matemática para Computación 1,5,1,033CR,OBLIGATORIO
0018,Filosofía de la Ciencia,3,1,0019,OPCIONAL
0112,Área Matemática Intermedia 2,5,1,0107,OBLIGATORIO
0114,Área Matemática Intermedia 3,5,1,0107,OBLIGATORIO
0152,Física 2,6,1,0107,OBLIGATORIO
0152,Física 2,6,1,0150,OBLIGATORIO
0732,Estadística 1,5,1,0107,OBLIGATORIO
0732,Estadística 1,5,1,0005,OBLIGATORIO
0771,Introducción a la Programación y Computación 2,5,1,0770,OBLIGATORIO
0771,Introducción a la Programación y Computación 2,5,1,0107,OBLIGATORIO
0771,Introducción a la Programación y Computación 2,5,1,0960,OBLIGATORIO
0771,Introducción a la Programación y Computación 2,5,1,0795,OBLIGATORIO
0796,Lenguajes Formales y de Programación,3,1,0770,OBLIGATORIO
0796,Lenguajes Formales y de Programación,3,1,0795,OBLIGATORIO
0796,Lenguajes Formales y de Programación,3,1,0960,OBLIGATORIO
0962,Matemática para Computación 2,5,1,0960,OBLIGATORIO
0962,Matemática para Computación 2,5,1,0770,OBLIGATORIO
0962,Matemática para Computación 2,5,1,0795,OBLIGATORIO
2025,Prácticas Iniciales,0,1,0770,OBLIGATORIO
0010,Lógica,2,1,0019,OPCIONAL
0116,Matemática Aplicada 3,5,1,0112,OBLIGATORIO
0116,Matemática Aplicada 3,5,1,0114,OBLIGATORIO
0118,Matemática Aplicada 1,6,1,0112,OBLIGATORIO
0118,Matemática Aplicada 1,6,1,0114,OBLIGATORIO
0736,Análisis Probabilístico,4,1,0732,OBLIGATORIO
0772,Estructuras de Datos,5,1,0771,OBLIGATORIO
0772,Estructuras de Datos,5,1,0796,OBLIGATORIO
0772,Estructuras de Datos,5,1,0962,OBLIGATORIO
0777,Organización de Lenguajes y Compiladores 1,4,1,0771,OBLIGATORIO
0777,Organización de Lenguajes y Compiladores 1,4,1,0796,OBLIGATORIO
0777,Organización de Lenguajes y Compiladores 1,4,1,0962,OBLIGATORIO
0964,Organización Computacional,3,1,0152,OBLIGATORIO
0964,Organización Computacional,3,1,0962,OBLIGATORIO
0964,Organización Computacional,3,1,0771,OBLIGATORIO
0028,Ecología,3,1,090CR,OPCIONAL
0368,Principios de Metrología,3,1,0732,OPCIONAL
0368,Principios de Metrología,3,1,0152,OPCIONAL
0368,Principios de Metrología,3,1,(0354,OPCIONAL
0368,Principios de Metrología,3,1,|0348),OPCIONAL
0650,Contabilidad 1,3,1,90CR,OPCIONAL
