CODIGO,NOMBRE,CREDITOS,SEMESTRE,CODIGO_PRERREQUISITO,TIPO
0017,Área Social Humanística 1,4,1,,OBLIGATORIO
0069,Área Técnica Complementaria 1,3,1,,OBLIGATORIO
0101,Área Matemática Básica 1,7,1,,OBLIGATORIO
0348,Química General 1,3,1,,OBLIGATORIO
0006,Idioma Técnico 1,2,1,,OPCIONAL
0039,Deportes 1,1,1,,OPCIONAL
0005,Técnicas de Estudio e Investigación,3,1,,OBLIGATORIO
0019,Área Social Humanística 2,4,1,0017,OBLIGATORIO
0103,Área Matemática Básica 2,7,1,0101,OBLIGATORIO
0147,Física Básica,5,1,0101,OBLIGATORIO
0769,Introducción a la Programación de Computadoras,4,1,0101,OBLIGATORIO
0769,Introducción a la Programación de Computadoras,4,1,017CR,OBLIGATORIO
0040,Deportes 2,1,1,(0039,OPCIONAL
0040,Deportes 2,1,1,|0031),OPCIONAL
0071,Área Técnica Complementaria 2,3,1,0069,OPCIONAL
0107,Área Matemática Intermedia 1,10,1,0103,OBLIGATORIO
0150,Física 1,6,1,0103,OBLIGATORIO
0150,Física 1,6,1,0147,OBLIGATORIO
0991,Lenguajes de Programación Aplicados a I.E.,3,1,(0770,OBLIGATORIO
0991,Lenguajes de Programación Aplicados a I.E.,3,1,|0769),OBLIGATORIO
2025,Prácticas Iniciales,0,1,0103,OBLIGATORIO
2025,Prácticas Iniciales,0,1,0769,OBLIGATORIO
0018,Filosofía de la Ciencia,3,1,0019,OPCIONAL
0352,Química 2,4,1,0101,OPCIONAL
0352,Química 2,4,1,0147,OPCIONAL
0352,Química 2,4,1,(0348,OPCIONAL
0352,Química 2,4,1,|0101),OPCIONAL
0352,Química 2,4,1,0033,OPCIONAL
0112,Área Matemática Intermedia 2,5,1,0107,OBLIGATORIO
0114,Área Matemática Intermedia 3,5,1,0107,OBLIGATORIO
0152,Física 2,6,1,0107,OBLIGATORIO
0152,Física 2,6,1,0150,OBLIGATORIO
0732,Estadística 1,5,1,0107,OBLIGATORIO
0732,Estadística 1,5,1,0005,OBLIGATORIO
0073,Dibujo Técnico Mecánico,3,1,0069,OPCIONAL
0073,Dibujo Técnico Mecánico,3,1,060CR,OPCIONAL
0118,Matemática Aplicada 1,6,1,0112,OBLIGATORIO
0118,Matemática Aplicada 1,6,1,0114,OBLIGATORIO
0123,Matemática Aplicada 5,4,1,0112,OBLIGATORIO
0123,Matemática Aplicada 5,4,1,0114,OBLIGATORIO
0154,Física 3,6,1,0152,OBLIGATORIO
0204,Circuitos Eléctricos 1,6,1,0112,OBLIGATORIO
0204,Circuitos Eléctricos 1,6,1,0114,OBLIGATORIO
0204,Circuitos Eléctricos 1,6,1,0152,OBLIGATORIO
0462,Electricidad y Electrónica Básica,5,1,0152,OBLIGATORIO
0116,Matemática Aplicada 3,5,1,0112,OPCIONAL
0116,Matemática Aplicada 3,5,1,0114,OPCIONAL
0368,Principios de Metrología,3,1,0732,OPCIONAL
0368,Principios de Metrología,3,1,0152,OPCIONAL
0368,Principios de Metrología,3,1,(0354,OPCIONAL
0368,Principios de Metrología,3,1,|0348),OPCIONAL
0734,Estadística 2,5,1,0732,OPCIONAL
3662,Legislación 1 (diplomado),0,1,90CR,OPCIONAL
0156,Física 4,6,1,0154,OBLIGATORIO
0206,Circuitos Eléctricos 2,6,1,0118,OBLIGATORIO
0206,Circuitos Eléctricos 2,6,1,0123,OBLIGATORIO
0206,Circuitos Eléctricos 2,6,1,0204,OBLIGATORIO
0210,Teoría Electromagnética 1,6,1,0118,OBLIGATORIO
0210,Teoría Electromagnética 1,6,1,0123,OBLIGATORIO
0210,Teoría Electromagnética 1,6,1,0154,OBLIGATORIO
0232,Electrónica 1,6,1,0204,OBLIGATORIO
